nombreCanton;idCanton;idProvincia
BABAHOYO;1201;12
PIÑAS;0710;07
SAN MIGUEL;0205;02
SANTO DOMINGO;2301;23
CALUMA;0206;02
LAS NAVES;0207;02
CHILLANES;0202;02
ESMERALDAS;0801;08
COTACACHI;1003;10
SAN CRISTÓBAL;2001;20
PABLO SEXTO;1411;14
MERA;1602;16
YANTZAZA;1905;19
CATAMAYO;1103;11
LA LIBERTAD;2402;24
SUSCAL;0307;03
NARANJITO;0912;09
DURÁN;0907;09
PLAYAS;0921;09
TULCÁN;0401;04
QUININDÉ;0804;08
MONTECRISTI;1309;13
SAN MIGUEL DE URCUQUÍ;1006;10
PUTUMAYO;2103;21
SAN PEDRO DE HUACA;0406;04
OTAVALO;1004;10
ANTONIO ANTE;1002;10
BAÑOS DE AGUA SANTA;1802;18
ESPEJO;0403;04
SAN LORENZO;0805;08
SUCUMBÍOS;2105;21
ZARUMA;0713;07
SIGCHOS;0507;05
LA MANÁ;0502;05
PUJILÍ;0504;05
PANGUA;0503;05
SALCEDO;0505;05
SAN MIGUEL DE LOS BANCOS;1707;17
QUIJOS;1507;15
SAQUISILÍ;0506;05
CUYABENO;2107;21
GUAMOTE;0606;06
QUERO;1806;18
EL PANGUI;1906;19
AGUARICO;2202;22
CHAMBO;0604;06
ALAUSÍ;0602;06
COLTA;0603;06
GUANO;0607;06
SANTA ROSA;0712;07
JAMA;1320;13
CUMANDÁ;0610;06
CHUNCHI;0605;06
PALLATANGA;0608;06
GENERAL ANTONIO ELIZALDE;0927;09
SAN PEDRO DE PELILEO;1807;18
PENIPE;0609;06
MACARÁ;1108;11
EL GUABO;0706;07
BALSAS;0704;07
MARCABELÍ;0708;07
GONZALO PIZARRO;2102;21
LAS LAJAS;0714;07
PORTOVELO;0711;07
TISALEO;1809;18
BALAO;0903;09
PINDAL;1114;11
ATAHUALPA;0703;07
ARCHIDONA;1503;15
PUYANGO;1110;11
ELOY ALFARO;0802;08
RÍO VERDE;0807;08
SANTA CLARA;1603;16
TOSAGUA;1315;13
ALFREDO BAQUERIZO MORENO (JUJAN);0902;09
DAULE;0906;09
URBINA (EL SALITRE (LAS RAMAS), CAB CANTONAL);0919;09
PEDRO CARBO;0914;09
MONTALVO;1203;12
VENTANAS;1207;12
CORONEL MARCELINO MARIDUEÑA;0923;09
BALZAR;0904;09
CHONE;1303;13
SANTA LUCIA;0918;09
SAN JACINTO DE YAGUACHI;0920;09
BUENA FÉ;1210;12
EL EMPALME;0908;09
BOLÍVAR;0402;04
NOBOL;0925;09
LOMAS DE SARGENTILLO;0924;09
MIRA;0404;04
PIMAMPIRO;1005;10
PEDRO MONCAYO;1704;17
NANGARITZA;1903;19
CALVAS;1102;11
PALTAS;1109;11
ZAPOTILLO;1113;11
GONZANAMÁ;1107;11
CELICA;1104;11
BABA;1202;12
ESPÍNDOLA;1106;11
OLMEDO;1116;11
CHAGUARPAMBA;1105;11
EL CARMEN;1304;13
PALANDA;1908;19
CENTINELA DEL CONDOR;1907;19
VALENCIA;1211;12
MOCACHE;1212;12
QUINSALOMA;1213;12
PUEBLOVIEJO;1204;12
ROCAFUERTE;1312;13
JARAMIJÓ;1321;13
JUNÍN;1307;13
SANTA ANA;1313;13
FLAVIO ALFARO;1305;13
PICHINCHA;1311;13
24 DE MAYO;1316;13
PATATE;1805;18
CARLOS JULIO AROSEMENA TOLA;1509;15
PALENQUE;1209;12
CEVALLOS;1803;18
MOCHA;1804;18
PAQUISHA;1909;19
ARAJUNO;1604;16
HUAMBOYA;1407;14
COLIMES;0905;09
EL PIEDRERO;9004;90
ISIDRO AYORA;0928;09
LAS GOLONDRINAS;9001;90
MANGA DEL CURA;9003;90
PALESTINA;0913;09
SIMÓN BOLÍVAR;0922;09
SOZORANGA;1112;11
TAISHA;1409;14
URDANETA;1206;12
YACUAMBI;1904;19
SAN JACINTO DE YAGUACHI;0920;09
