año;canton;provincia;tipoEmpresa;ventasTotales
2019;Orellana;Orellana;Microempresa;85158
2019;San Cristóbal;Galápagos;Microempresa;174787
2019;Morona;Morona Santiago;Microempresa;20476
2019;Rioverde;Esmeraldas;"Mediana empresa ""B""";2391350
2019;Atacames;Esmeraldas;Microempresa;64683
2019;Esmeraldas;Esmeraldas;Microempresa;40
2019;Esmeraldas;Esmeraldas;Microempresa;300
2019;Esmeraldas;Esmeraldas;Microempresa;12816
2019;Rioverde;Esmeraldas;Microempresa;62
2019;Taisha;Morona Santiago;Microempresa;774
2019;Atacames;Esmeraldas;Microempresa;290973
2019;Tena;Napo;Microempresa;84097
2019;Morona;Morona Santiago;Microempresa;60770
2019;Tena;Napo;Microempresa;18781
2019;Atacames;Esmeraldas;Pequeña empresa;196760
2019;Esmeraldas;Esmeraldas;Pequeña empresa;146980
2019;Esmeraldas;Esmeraldas;Pequeña empresa;311449
2019;Pastaza;Pastaza;Pequeña empresa;580990
2019;Pastaza;Pastaza;Pequeña empresa;530653
2019;Cuenca;Azuay;"Mediana empresa ""B""";4894530
2019;Cuenca;Azuay;"Mediana empresa ""A""";1268893
2019;Cuenca;Azuay;"Mediana empresa ""A""";2769828
2019;Cuenca;Azuay;"Mediana empresa ""A""";1069703
2019;Cuenca;Azuay;"Mediana empresa ""B""";9309390
2019;Cuenca;Azuay;"Mediana empresa ""B""";4664833
2019;Rumiñahui;Pichincha;Microempresa;38824
2019;Ambato;Tungurahua;Microempresa;22616
2019;Morona;Morona Santiago;Microempresa;2303
2019;Atacames;Esmeraldas;Pequeña empresa;117358
2019;Esmeraldas;Esmeraldas;Pequeña empresa;135062
2019;Esmeraldas;Esmeraldas;Microempresa;90020
2019;Esmeraldas;Esmeraldas;Microempresa;89675
2019;Tena;Napo;Microempresa;164205
2019;Logroño;Morona Santiago;Microempresa;77788
2019;San Juan Bosco;Morona Santiago;Microempresa;69221
2019;Rioverde;Esmeraldas;Pequeña empresa;372591
2019;Archidona;Napo;Pequeña empresa;161572
2019;Quijos;Napo;Pequeña empresa;414852
2019;Tena;Napo;Pequeña empresa;157378
2019;Morona;Morona Santiago;Pequeña empresa;146640
2019;Morona;Morona Santiago;Pequeña empresa;100380
2019;Atacames;Esmeraldas;"Mediana empresa ""A""";1823407
2019;Tena;Napo;"Mediana empresa ""B""";2522104
2019;Archidona;Napo;"Mediana empresa ""A""";1427404
2019;Santiago;Morona Santiago;"Mediana empresa ""A""";1321027
2019;Morona;Morona Santiago;Microempresa;37171
2019;Morona;Morona Santiago;Microempresa;91279
2019;Morona;Morona Santiago;Microempresa;11040
2019;Morona;Morona Santiago;Pequeña empresa;100287
2019;Morona;Morona Santiago;Pequeña empresa;341142
2019;Guayaquil;Guayas;"Mediana empresa ""A""";1262234
2019;Guayaquil;Guayas;"Mediana empresa ""A""";1169109
2019;Portoviejo;Manabí;"Mediana empresa ""B""";2240051
2019;Mera;Pastaza;Microempresa;150
2019;Pastaza;Pastaza;Microempresa;71
2019;Mera;Pastaza;Microempresa;5400
2019;Pastaza;Pastaza;Microempresa;621
2019;Chone;Manabí;Microempresa;17866
2019;Chone;Manabí;Microempresa;42867
2019;Flavio Alfaro;Manabí;Microempresa;8428
2019;Jaramijó;Manabí;Microempresa;20
2019;Jipijapa;Manabí;Microempresa;91756
2019;Manta;Manabí;Microempresa;500
2019;Ambato;Tungurahua;Microempresa;9754
2019;Quevedo;Los Ríos;Microempresa;40
2019;Urdaneta;Los Ríos;Microempresa;54
2019;Quito;Pichincha;Microempresa;106946
2019;Quito;Pichincha;Microempresa;384338
2019;Quito;Pichincha;Microempresa;15
2019;Quito;Pichincha;Microempresa;103932
2019;Quito;Pichincha;Microempresa;11064
2019;Quito;Pichincha;Microempresa;59495
2019;Guaranda;Bolívar;Microempresa;6318
2019;Quito;Pichincha;Microempresa;14780
2019;Quito;Pichincha;Microempresa;28668
2019;Lago Agrio;Sucumbíos;Microempresa;22
2019;Puerto Quito;Pichincha;Microempresa;800
2019;San Pedro de Pelileo;Tungurahua;Microempresa;3385
2019;Guaranda;Bolívar;Microempresa;6780
2019;Babahoyo;Los Ríos;Microempresa;151
2019;Buena Fé;Los Ríos;Microempresa;53503
2019;Quevedo;Los Ríos;Microempresa;40018
2019;Quito;Pichincha;Microempresa;42359
2019;Quito;Pichincha;Microempresa;111618
2019;Guaranda;Bolívar;Microempresa;57013
2019;El Tambo;Cañar;Microempresa;10634
2019;La Troncal;Cañar;Microempresa;99165
2019;Azogues;Cañar;Microempresa;80453
2019;Ambato;Tungurahua;Microempresa;41452
2019;Latacunga;Cotopaxi;Pequeña empresa;328254
2019;Guano;Chimborazo;Pequeña empresa;771842
2019;Riobamba;Chimborazo;Pequeña empresa;2783546
2019;Riobamba;Chimborazo;Pequeña empresa;1162823
2019;Salcedo;Cotopaxi;Pequeña empresa;517996
2019;Pujilí;Cotopaxi;Pequeña empresa;200069
2019;Saquisilí;Cotopaxi;Pequeña empresa;460861
2019;Santa Elena;Santa Elena;Microempresa;11410
2019;Santa Elena;Santa Elena;Pequeña empresa;100359
2019;La Libertad;Santa Elena;Pequeña empresa;305072
2019;Antonio Ante;Imbabura;"Mediana empresa ""A""";1351568
2019;La Libertad;Santa Elena;"Mediana empresa ""B""";2381292
2019;Salinas;Santa Elena;Microempresa;23170
2019;Santa Elena;Santa Elena;Microempresa;68787
2019;Salinas;Santa Elena;Microempresa;174497
2019;La Libertad;Santa Elena;Microempresa;80462
2019;Loja;Loja;Microempresa;144616
2019;Macará;Loja;Microempresa;61082
2019;Paltas;Loja;Microempresa;80076
2019;Loja;Loja;Microempresa;98554
2019;Loja;Loja;Microempresa;99823
2019;Salinas;Santa Elena;Pequeña empresa;822582
2019;Antonio Ante;Imbabura;Pequeña empresa;454555
2019;Ibarra;Imbabura;Pequeña empresa;2460491
2019;Otavalo;Imbabura;Pequeña empresa;1053761
2019;San Miguel de Urcuqui;Imbabura;Pequeña empresa;246624
2019;Antonio Ante;Imbabura;Pequeña empresa;942165
2019;Antonio Ante;Imbabura;Pequeña empresa;780162
2019;Santa Cruz;Galápagos;Microempresa;158371
2019;Santa Cruz;Galápagos;Microempresa;29604
2019;Babahoyo;Los Ríos;Microempresa;71081
2019;Montalvo;Los Ríos;Microempresa;14388
2019;Quevedo;Los Ríos;Microempresa;62044
2019;Huaquillas;El Oro;Microempresa;89500
2019;Machala;El Oro;Microempresa;258566
2019;Pasaje;El Oro;Microempresa;44244
2019;Piñas;El Oro;Microempresa;17829
2019;Santa Rosa;El Oro;Microempresa;81351
2019;Zaruma;El Oro;Microempresa;89577
2019;El Guabo;El Oro;Microempresa;41695
2019;Machala;El Oro;Microempresa;118469
2019;Portovelo;El Oro;Microempresa;1000
2019;Yantzaza (Yanzatza);Zamora Chinchipe;Microempresa;58843
2019;Otavalo;Imbabura;Microempresa;575
2019;Cotacachi;Imbabura;Microempresa;10
2019;Otavalo;Imbabura;Microempresa;613
2019;Cotacachi;Imbabura;Pequeña empresa;723103
2019;Cotacachi;Imbabura;Pequeña empresa;119949
2019;Ibarra;Imbabura;Pequeña empresa;1775098
2019;Ibarra;Imbabura;Pequeña empresa;348945
2019;Otavalo;Imbabura;Pequeña empresa;466861
2019;Otavalo;Imbabura;Pequeña empresa;110083
2019;Otavalo;Imbabura;Pequeña empresa;314359
2019;Otavalo;Imbabura;Pequeña empresa;255717
2019;Ibarra;Imbabura;"Mediana empresa ""A""";2663447
2019;Otavalo;Imbabura;"Mediana empresa ""A""";2528192
2019;San Miguel de Urcuqui;Imbabura;"Mediana empresa ""A""";1141731
2019;Loja;Loja;Microempresa;13880
2019;Saraguro;Loja;Microempresa;146
2019;Loja;Loja;Microempresa;26382
2019;Puyango;Loja;Microempresa;10
2019;Calvas;Loja;Pequeña empresa;699023
2019;Loja;Loja;Pequeña empresa;1054555
2019;Loja;Loja;Pequeña empresa;1074082
2019;Loja;Loja;"Mediana empresa ""B""";2089917
2019;Antonio Ante;Imbabura;Microempresa;18503
2019;Cotacachi;Imbabura;Microempresa;48
2019;Cotacachi;Imbabura;Microempresa;8173
2019;Portoviejo;Manabí;"Mediana empresa ""A""";2483001
2019;Manta;Manabí;"Mediana empresa ""A""";1187415
2019;Guayaquil;Guayas;Microempresa;162078
2019;Rumiñahui;Pichincha;Pequeña empresa;387564
2019;Guayaquil;Guayas;Pequeña empresa;182800
2019;Quito;Pichincha;Pequeña empresa;1739520
2019;La Joya de los Sachas;Orellana;Pequeña empresa;1536320
2019;Orellana;Orellana;Pequeña empresa;3704310
2019;La Joya de los Sachas;Orellana;Pequeña empresa;895652
2019;Orellana;Orellana;Pequeña empresa;2405344
2019;Orellana;Orellana;Pequeña empresa;461452
2019;Naranjal;Guayas;Pequeña empresa;198394
2019;Guayaquil;Guayas;Pequeña empresa;4681329
2019;Guayaquil;Guayas;Pequeña empresa;157681
2019;Lago Agrio;Sucumbíos;Grande empresa;5578676
2019;Quito;Pichincha;"Mediana empresa ""A""";1136618
2019;Lago Agrio;Sucumbíos;"Mediana empresa ""A""";1801235
2019;Orellana;Orellana;"Mediana empresa ""A""";1018634
2019;Quito;Pichincha;"Mediana empresa ""A""";1286672
2019;La Joya de los Sachas;Orellana;"Mediana empresa ""B""";2767689
2019;Cascales;Sucumbíos;Microempresa;44777
2019;Gonzalo Pizarro;Sucumbíos;Microempresa;35
2019;Lago Agrio;Sucumbíos;Microempresa;111
2019;Lago Agrio;Sucumbíos;Microempresa;10
2019;Lago Agrio;Sucumbíos;Microempresa;3755
2019;Shushufindi;Sucumbíos;Microempresa;16371
2019;Aguarico;Orellana;Microempresa;10
2019;Aguarico;Orellana;Microempresa;10
2019;La Joya de los Sachas;Orellana;Microempresa;27453
2019;Loreto;Orellana;Microempresa;47386
2019;Loreto;Orellana;Microempresa;100
2019;Orellana;Orellana;Microempresa;162297
2019;Cayambe;Pichincha;Microempresa;136
2019;Tena;Napo;Microempresa;1864
2019;Archidona;Napo;Microempresa;76580
2019;Tena;Napo;Microempresa;233154
2019;Tena;Napo;Microempresa;63111
2019;San Lorenzo;Esmeraldas;Pequeña empresa;395425
2019;Atacames;Esmeraldas;Pequeña empresa;1675876
2019;Esmeraldas;Esmeraldas;Pequeña empresa;1552347
2019;Muisne;Esmeraldas;Pequeña empresa;338121
2019;Quinindé;Esmeraldas;Pequeña empresa;114172
2019;Atacames;Esmeraldas;Pequeña empresa;273044
2019;Esmeraldas;Esmeraldas;Pequeña empresa;1986122
2019;Esmeraldas;Esmeraldas;Pequeña empresa;822540
2019;Quinindé;Esmeraldas;Pequeña empresa;230390
2019;Archidona;Napo;Pequeña empresa;325602
2019;Quijos;Napo;Pequeña empresa;198193
2019;Tena;Napo;Pequeña empresa;382913
2019;Quijos;Napo;Pequeña empresa;100960
2019;Montúfar;Carchi;Microempresa;6150
2019;Alausí;Chimborazo;Microempresa;5
2019;Riobamba;Chimborazo;Microempresa;5591
2019;Riobamba;Chimborazo;Microempresa;2428
2019;Alausí;Chimborazo;Microempresa;36722
2019;Alausí;Chimborazo;Microempresa;258
2019;Chambo;Chimborazo;Microempresa;42047
2019;Colta;Chimborazo;Microempresa;204
2019;Riobamba;Chimborazo;Microempresa;70
2019;Riobamba;Chimborazo;Microempresa;73175
2019;La Maná;Cotopaxi;Microempresa;8688
2019;La Maná;Cotopaxi;Microempresa;13
2019;Latacunga;Cotopaxi;Microempresa;813
2019;Latacunga;Cotopaxi;Microempresa;141269
2019;Latacunga;Cotopaxi;Microempresa;126695
2019;Pujilí;Cotopaxi;Microempresa;128284
2019;Saquisilí;Cotopaxi;Microempresa;42105
2019;Guaranda;Bolívar;Microempresa;195
2019;Guaranda;Bolívar;Microempresa;64307
2019;Guaranda;Bolívar;Microempresa;220632
2019;San Miguel;Bolívar;Microempresa;16834
2019;Camilo Ponce Enríquez;Azuay;Microempresa;41931
2019;Camilo Ponce Enríquez;Azuay;Microempresa;9504
2019;Cuenca;Azuay;Microempresa;3935
2019;Cuenca;Azuay;Microempresa;14450
2019;Guachapala;Azuay;Microempresa;26328
2019;Gualaceo;Azuay;Microempresa;6330
2019;Paute;Azuay;Microempresa;4428
2019;Sevilla de Oro;Azuay;Microempresa;61996
2019;La Troncal;Cañar;Microempresa;290
2019;La Troncal;Cañar;Microempresa;1065
2019;Riobamba;Chimborazo;Microempresa;66702
2019;Riobamba;Chimborazo;Microempresa;29460
2019;Latacunga;Cotopaxi;Microempresa;13355
2019;La Troncal;Cañar;Microempresa;64069
2019;Riobamba;Chimborazo;Pequeña empresa;119757
2019;Latacunga;Cotopaxi;Pequeña empresa;123709
2019;Guaranda;Bolívar;Pequeña empresa;122988
2019;Cuenca;Azuay;Pequeña empresa;106197
2019;Cuenca;Azuay;Pequeña empresa;107356
2019;Riobamba;Chimborazo;Pequeña empresa;342293
2019;Cuenca;Azuay;Pequeña empresa;491400
2019;Guayaquil;Guayas;Grande empresa;159440497
2019;Guayaquil;Guayas;Grande empresa;119672382
2019;Guayaquil;Guayas;Grande empresa;31135175
2019;Guayaquil;Guayas;"Mediana empresa ""A""";1092935
2019;Guayaquil;Guayas;"Mediana empresa ""B""";4421445
2019;Guayaquil;Guayas;Grande empresa;8170578
2019;Guayaquil;Guayas;Grande empresa;5130551
2019;Naranjal;Guayas;"Mediana empresa ""A""";1234758
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Microempresa;1000
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Pequeña empresa;1604262
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Pequeña empresa;1674250
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Pequeña empresa;222240
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Pequeña empresa;512228
2019;Manta;Manabí;"Mediana empresa ""B""";5770035
2019;Manta;Manabí;"Mediana empresa ""B""";2704771
2019;Salinas;Santa Elena;"Mediana empresa ""B""";3927904
2019;Guayaquil;Guayas;Grande empresa;5229822
2019;Manta;Manabí;"Mediana empresa ""A""";3443085
2019;Manta;Manabí;"Mediana empresa ""A""";1152227
2019;Portoviejo;Manabí;"Mediana empresa ""A""";1264317
2019;Playas;Guayas;"Mediana empresa ""A""";1294657
2019;La Libertad;Santa Elena;"Mediana empresa ""A""";1472237
2019;Santa Elena;Santa Elena;"Mediana empresa ""A""";1011677
2019;Guayaquil;Guayas;"Mediana empresa ""A""";8578686
2019;Manta;Manabí;"Mediana empresa ""B""";2664470
2019;Manta;Manabí;"Mediana empresa ""B""";2093538
2019;La Libertad;Santa Elena;"Mediana empresa ""B""";4477428
2019;Guayaquil;Guayas;"Mediana empresa ""B""";22915326
2019;Manta;Manabí;Microempresa;110520
2019;Pedernales;Manabí;Microempresa;38
2019;Pichincha;Manabí;Microempresa;2350
2019;Portoviejo;Manabí;Microempresa;17411
2019;Portoviejo;Manabí;Microempresa;119335
2019;Portoviejo;Manabí;Microempresa;36916
2019;Puerto López;Manabí;Microempresa;6659
2019;Rocafuerte;Manabí;Microempresa;7888
2019;San Vicente;Manabí;Microempresa;2011
2019;El Empalme;Guayas;Microempresa;16875
2019;Isidro Ayora;Guayas;Microempresa;16347
2019;Milagro;Guayas;Microempresa;18
2019;Milagro;Guayas;Microempresa;14472
2019;Naranjal;Guayas;Microempresa;4658
2019;Naranjito;Guayas;Microempresa;35614
2019;Pedro Carbo;Guayas;Microempresa;54604
2019;Salitre (Urbina Jado);Guayas;Microempresa;7397
2019;San Jacinto de Yaguachi;Guayas;Microempresa;56898
2019;San Jacinto de Yaguachi;Guayas;Microempresa;55268
2019;Simón Bolívar;Guayas;Microempresa;40571
2019;Durán;Guayas;Microempresa;85739
2019;Guayaquil;Guayas;Microempresa;12348
2019;Guayaquil;Guayas;Microempresa;91764
2019;Guayaquil;Guayas;Microempresa;2153
2019;Guayaquil;Guayas;Microempresa;52469
2019;Samborondón;Guayas;Microempresa;4365
2019;Portoviejo;Manabí;Microempresa;47406
2019;Gualaceo;Azuay;Microempresa;15876
2019;Durán;Guayas;Microempresa;17786
2019;Guayaquil;Guayas;Microempresa;68636
2019;Guayaquil;Guayas;Microempresa;80895
2019;Pastaza;Pastaza;Pequeña empresa;115486
2019;Guayaquil;Guayas;Pequeña empresa;277024
2019;Portoviejo;Manabí;Pequeña empresa;788883
2019;Sucre;Manabí;Pequeña empresa;274867
2019;El Empalme;Guayas;Pequeña empresa;357843
2019;Milagro;Guayas;Pequeña empresa;320198
2019;Durán;Guayas;Pequeña empresa;209845
2019;Guayaquil;Guayas;Pequeña empresa;649768
2019;Guayaquil;Guayas;Pequeña empresa;108276
2019;Guayaquil;Guayas;"Mediana empresa ""B""";9016552
2019;Guayaquil;Guayas;"Mediana empresa ""A""";1033388
2019;Guayaquil;Guayas;"Mediana empresa ""A""";37078582
2019;Guayaquil;Guayas;"Mediana empresa ""A""";6506546
2019;Samborondón;Guayas;"Mediana empresa ""A""";17080904
2019;Samborondón;Guayas;"Mediana empresa ""A""";1299166
2019;Guayaquil;Guayas;"Mediana empresa ""B""";23757568
2019;Guayaquil;Guayas;"Mediana empresa ""B""";7780367
2019;Guayaquil;Guayas;"Mediana empresa ""B""";2336354
2019;Samborondón;Guayas;"Mediana empresa ""B""";7170781
2019;Guayaquil;Guayas;Microempresa;13080
2019;Guayaquil;Guayas;Microempresa;1000
2019;Guayaquil;Guayas;Microempresa;642916
2019;Guayaquil;Guayas;Microempresa;16721
2019;Guayaquil;Guayas;Microempresa;57807
2019;Guayaquil;Guayas;Microempresa;104108
2019;Samborondón;Guayas;Microempresa;435
2019;Samborondón;Guayas;Microempresa;68758
2019;Guayaquil;Guayas;Microempresa;203
2019;Samborondón;Guayas;Microempresa;990
2019;Guayaquil;Guayas;Microempresa;30
2019;Guayaquil;Guayas;Microempresa;81967
2019;Guayaquil;Guayas;Microempresa;1445
2019;Muisne;Esmeraldas;Microempresa;28048
2019;Esmeraldas;Esmeraldas;Microempresa;58950
2019;Esmeraldas;Esmeraldas;Microempresa;52468
2019;Ambato;Tungurahua;Microempresa;7582
2019;El Carmen;Manabí;Microempresa;19939
2019;Pedernales;Manabí;Microempresa;18457
2019;Manta;Manabí;Microempresa;22440
2019;Manta;Manabí;Microempresa;1333
2019;Portoviejo;Manabí;Microempresa;88039
2019;Puerto López;Manabí;Microempresa;76509
2019;Atacames;Esmeraldas;Microempresa;622825
2019;Esmeraldas;Esmeraldas;Microempresa;422110
2019;Quinindé;Esmeraldas;Microempresa;185934
2019;San Lorenzo;Esmeraldas;Microempresa;68633
2019;Atacames;Esmeraldas;Microempresa;72261
2019;Esmeraldas;Esmeraldas;Microempresa;270438
2019;Quinindé;Esmeraldas;Microempresa;77786
2019;San Lorenzo;Esmeraldas;Microempresa;142078
2019;Pastaza;Pastaza;Microempresa;114579
2019;Pastaza;Pastaza;Microempresa;164746
2019;El Carmen;Manabí;Microempresa;27514
2019;Manta;Manabí;Microempresa;416601
2019;Montecristi;Manabí;Microempresa;72162
2019;Portoviejo;Manabí;Microempresa;197507
2019;San Vicente;Manabí;Microempresa;82449
2019;Bolivar;Manabí;Microempresa;39907
2019;Chone;Manabí;Microempresa;53108
2019;Manta;Manabí;Microempresa;164906
2019;Manta;Manabí;Microempresa;114266
2019;Montecristi;Manabí;Microempresa;29323
2019;Portoviejo;Manabí;Microempresa;126229
2019;Portoviejo;Manabí;Microempresa;10015
2019;General Antonio Elizalde;Guayas;Microempresa;53036
2019;Milagro;Guayas;Microempresa;57301
2019;Durán;Guayas;Microempresa;53629
2019;Guayaquil;Guayas;Microempresa;105126
2019;Samborondón;Guayas;Microempresa;82329
2019;Jipijapa;Manabí;Pequeña empresa;204550
2019;Manta;Manabí;Pequeña empresa;2152079
2019;Pedernales;Manabí;Pequeña empresa;374720
2019;Portoviejo;Manabí;Pequeña empresa;907350
2019;Puerto López;Manabí;Pequeña empresa;350727
2019;San Vicente;Manabí;Pequeña empresa;150809
2019;Santa Ana;Manabí;Pequeña empresa;104246
2019;Cotacachi;Imbabura;Pequeña empresa;136918
2019;Ibarra;Imbabura;Pequeña empresa;8989087
2019;Ibarra;Imbabura;Pequeña empresa;121730
2019;Otavalo;Imbabura;Pequeña empresa;1511217
2019;Otavalo;Imbabura;Pequeña empresa;226994
2019;San Miguel de Urcuqui;Imbabura;Pequeña empresa;313017
2019;La Libertad;Santa Elena;Pequeña empresa;281581
2019;Salinas;Santa Elena;Pequeña empresa;771837
2019;Santa Elena;Santa Elena;Pequeña empresa;857656
2019;La Libertad;Santa Elena;Pequeña empresa;1232020
2019;Salinas;Santa Elena;Pequeña empresa;730545
2019;Santa Elena;Santa Elena;Pequeña empresa;1745090
2019;Catamayo;Loja;Pequeña empresa;121077
2019;Loja;Loja;Pequeña empresa;2091455
2019;Paltas;Loja;Pequeña empresa;273776
2019;Puyango;Loja;Pequeña empresa;324185
2019;Loja;Loja;Pequeña empresa;6175531
2019;Loja;Loja;Pequeña empresa;167689
2019;Santa Elena;Santa Elena;Microempresa;1
2019;La Libertad;Santa Elena;Microempresa;1006
2019;La Libertad;Santa Elena;Microempresa;65591
2019;La Libertad;Santa Elena;Microempresa;23
2019;Salinas;Santa Elena;Microempresa;519
2019;Salinas;Santa Elena;Microempresa;51965
2019;Santa Elena;Santa Elena;Microempresa;7282
2019;Santa Elena;Santa Elena;Microempresa;67368
2019;La Libertad;Santa Elena;Pequeña empresa;165176
2019;La Libertad;Santa Elena;Pequeña empresa;229773
2019;Santa Elena;Santa Elena;Pequeña empresa;283247
2019;Guayaquil;Guayas;Grande empresa;58321688
2019;Guayaquil;Guayas;Grande empresa;9656015
2019;Loja;Loja;Pequeña empresa;150216
2019;Santo Domingo;Santo Domingo de los Tsáchilas;"Mediana empresa ""A""";1060071
2019;Loja;Loja;"Mediana empresa ""B""";3175492
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Microempresa;9875
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Microempresa;15187
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Microempresa;576
2019;Antonio Ante;Imbabura;Microempresa;77910
2019;Ibarra;Imbabura;Microempresa;248283
2019;Antonio Ante;Imbabura;Microempresa;153430
2019;Cotacachi;Imbabura;Microempresa;10625
2019;Ibarra;Imbabura;Microempresa;6857
2019;Ibarra;Imbabura;Microempresa;1250
2019;Otavalo;Imbabura;Microempresa;45076
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Microempresa;765842
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Microempresa;63308
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Microempresa;10147
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Microempresa;118940
2019;La Concordia;Santo Domingo de los Tsáchilas;Pequeña empresa;160361
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Pequeña empresa;3206286
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Pequeña empresa;797763
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Pequeña empresa;5716936
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Pequeña empresa;208306
2019;Santo Domingo;Santo Domingo de los Tsáchilas;Pequeña empresa;1295379
2019;Rioverde;Esmeraldas;Microempresa;18303
2019;Quinindé;Esmeraldas;Microempresa;18339
2019;Buena Fé;Los Ríos;Pequeña empresa;112745
2019;Guayaquil;Guayas;Pequeña empresa;125308
2019;Guayaquil;Guayas;Pequeña empresa;988865
2019;Guayaquil;Guayas;Pequeña empresa;390039
2019;Quito;Pichincha;Pequeña empresa;326873
2019;Quito;Pichincha;Pequeña empresa;469127
2019;Samborondón;Guayas;"Mediana empresa ""B""";3193067
2019;Quito;Pichincha;Pequeña empresa;656674
2019;Quito;Pichincha;Pequeña empresa;689941
2019;Quito;Pichincha;Pequeña empresa;593054
2019;Lago Agrio;Sucumbíos;Pequeña empresa;1128644
2019;Shushufindi;Sucumbíos;Pequeña empresa;789534
2019;Cayambe;Pichincha;Pequeña empresa;694594
2019;Mejía;Pichincha;Pequeña empresa;1150139
2019;Pedro Moncayo;Pichincha;Pequeña empresa;333023
2019;Rumiñahui;Pichincha;Pequeña empresa;390299
2019;San Miguel de los Bancos;Pichincha;Pequeña empresa;172443
2019;Cayambe;Pichincha;Pequeña empresa;876172
2019;Mejía;Pichincha;Pequeña empresa;731640
2019;Rumiñahui;Pichincha;Pequeña empresa;2252517
2019;Rumiñahui;Pichincha;Pequeña empresa;157714
2019;Ambato;Tungurahua;Pequeña empresa;1121535
2019;Baños de Agua Santa;Tungurahua;Pequeña empresa;408064
2019;Baños de Agua Santa;Tungurahua;Pequeña empresa;487544
2019;Patate;Tungurahua;Pequeña empresa;152791
2019;Ambato;Tungurahua;Pequeña empresa;1206746
2019;Ambato;Tungurahua;Pequeña empresa;208646
2019;Ambato;Tungurahua;Pequeña empresa;360298
2019;Baños de Agua Santa;Tungurahua;Pequeña empresa;655148
2019;Daule;Guayas;Pequeña empresa;297769
2019;Naranjal;Guayas;Pequeña empresa;234624
2019;Naranjito;Guayas;Pequeña empresa;538302
2019;San Jacinto de Yaguachi;Guayas;Pequeña empresa;117522
2019;Quevedo;Los Ríos;Pequeña empresa;1227185
2019;Vinces;Los Ríos;Pequeña empresa;192580
2019;Babahoyo;Los Ríos;Pequeña empresa;122292
2019;Cuenca;Azuay;Pequeña empresa;6966462
2019;Gualaceo;Azuay;Pequeña empresa;576530
2019;Santa Isabel;Azuay;Pequeña empresa;394259
2019;Cuenca;Azuay;Pequeña empresa;8973284
2019;Cuenca;Azuay;Pequeña empresa;472178
2019;Cuenca;Azuay;Pequeña empresa;874878
2019;Cuenca;Azuay;Pequeña empresa;235040
2019;Cuenca;Azuay;Pequeña empresa;848741
2019;Quito;Pichincha;Pequeña empresa;23487944
2019;Quito;Pichincha;Pequeña empresa;157015
2019;Guayaquil;Guayas;Microempresa;5
